,CropsM,TonnesM,US$1000M,TempChangeM,YearR,CropsRM,CropsSB,TonnesSB,US$1000SB,TempChangeSB,CropsRSB,CropsW,Year,TonnesW,US$1000W,TempChangeW,CropsRW,US$1000MCUBE,US$1000SBCUBE,US$1000WLOG
0,Maize,239548580,17247498,0.755,1,1,Soybeans,72223460,12277988,0.755,2,Wheat,1999,62567284,5693623,0.755,3,2525092323289120744,6219874612124932672,15.554857334582476
1,Maize,251853900,18385335,1.0,2,1,Soybeans,75055290,12534233,1.0,2,Wheat,2000,60639376,5821380,1.0,3,-1931831759186424217,-4585910833490395575,15.577047905002743
2,Maize,241376650,18827379,0.784,3,1,Soybeans,78671470,12666107,0.784,2,Wheat,2001,52999932,5405993,0.784,3,-3976554895542924053,2885073868465649283,15.503018710960124
3,Maize,227766880,20726786,0.953,4,1,Soybeans,75010030,15227036,0.953,2,Wheat,2002,43703968,5725220,0.953,3,-5557212846700154872,7252425108810264000,15.56039153461384
4,Maize,256229020,24341757,0.992,5,1,Soybeans,66782720,18031334,0.992,2,Wheat,2003,63803256,7975407,0.992,3,-2348408171527438619,-3554918419279446184,15.891873239815729
5,Maize,299875570,24289921,0.866,6,1,Soybeans,85015630,17938298,0.866,2,Wheat,2004,58697040,7337130,0.866,3,-2060386789240428671,-1599888591628736216,15.808458315952684
6,Maize,282262550,22298741,1.157,7,1,Soybeans,83506580,17369369,1.157,2,Wheat,2005,57241992,7212491,1.157,3,1195653410482761805,1376106722705811465,15.791324941964092
7,Maize,267502850,32100342,1.028,8,1,Soybeans,87000620,20532146,1.028,2,Wheat,2006,49216040,7726918,1.028,3,2206087762447154200,4193684115715740232,15.86022063472016
8,Maize,331177280,54644251,1.147,9,1,Soybeans,72859180,27030756,1.147,2,Wheat,2007,55820360,13285246,1.147,3,5963433303119701731,-6122881395443459520,16.402164654129187
9,Maize,305911450,48945832,0.215,10,1,Soybeans,80748700,29554024,0.215,2,Wheat,2008,68016096,16936008,0.215,3,-6693016192932652544,6681651997358615040,16.644952564163283
10,Maize,331921050,46468947,0.399,11,1,Soybeans,91469550,32197282,0.399,2,Wheat,2009,60365728,10805465,0.399,3,-6961320385165676917,7634290914160236424,16.19556258262877
11,Maize,315617920,64386056,0.694,12,1,Soybeans,90663290,37625265,0.694,2,Wheat,2010,60062408,12553043,0.694,3,-7857547940140219904,8853817049064969233,16.34547366427046
12,Maize,312788890,76633278,0.539,13,1,Soybeans,84291400,38689753,0.539,2,Wheat,2011,54418808,14475403,0.539,3,-4082658068768974600,-8201690196792513463,16.48796142214113
13,Maize,273192400,74035140,1.451,14,1,Soybeans,82790870,43796370,1.451,2,Wheat,2012,61677384,17639732,1.451,3,-8368784193665256384,309408123529793736,16.685664415683743
14,Maize,351271870,61823849,0.618,15,1,Soybeans,91389350,43684109,0.618,2,Wheat,2013,58104610,14642362,0.618,3,-398955526540571911,1608981404478354325,16.49942939228155
15,Maize,361091140,52719306,0.504,16,1,Soybeans,106877870,39651690,0.504,2,Wheat,2014,55147120,12132366,0.504,3,1608839231447018728,-7366843325362653080,16.311387315485906
16,Maize,345486340,49059060,1.534,17,1,Soybeans,106953940,35187846,1.534,2,Wheat,2015,55839540,10051117,1.534,3,-2686681519422478016,-2163781175336745256,16.1231943305719
17,Maize,412262180,54418608,2.229,18,1,Soybeans,116931500,40692162,2.229,2,Wheat,2016,62831507,8984906,2.229,3,3687600407284494336,-5756306481321257720,16.01105661626416
18,Maize,371096030,48984676,1.437,19,1,Soybeans,120064970,41062220,1.437,2,Wheat,2017,47379810,8196707,1.437,3,-3997494004248829376,4621365635305833152,15.91924304621163
19,Maize,364262150,51725225,1.278,20,1,Soybeans,120514490,37480006,1.278,2,Wheat,2018,51305540,9696747,1.278,3,3308616058564542393,3062691144187528152,16.08730102640285
20,Maize,345962110,52404183,1.04,21,1,Soybeans,96667090,31070611,1.04,2,Wheat,2019,52580890,8727023,1.04,3,-9213970163458911545,629691147447581515,15.981934861641
