Crops,Year,Tonnes,USD1000,TempChange,,,,,,,
1,1999,239548580,17247498,0.755,,Temp ,,Tonnes,,USD1000,
1,2000,251853900,18385335,1,,,,,,,
1,2001,241376650,18827379,0.784,,Mean,0.981904762,Mean,151847039.67,Mean," $151,847,039.67 "
1,2002,227766880,20726786,0.953,,Median,0.992,Median,85015630.00,Median," $85,015,630.00 "
1,2003,256229020,24341757,0.992,,Mode,0.755,,,,
1,2004,299875570,24289921,0.866,,,,,,,
1,2005,282262550,22298741,1.157,,Minimum,0.215,Minimum,43703968,Minimum," $5,405,993.00 "
1,2006,267502850,32100342,1.028,,Maximum,2.229,Maximum,412262180,Maximum," $76,633,278.00 "
1,2007,331177280,54644251,1.147,,Range,2.014,Range,368558212,Range," $71,227,285.00 "
1,2008,305911450,48945832,0.215,,Q1,0.694,Q1,61158380,Q1," $12,406,110.50 "
1,2009,331921050,46468947,0.399,,Q3,1.157,Q3,261865935,Q3," $40,877,191.00 "
1,2010,315617920,64386056,0.694,,QT range,1.157,QT range,200707555,QT range," $28,471,080.50 "
1,2011,312788890,76633278,0.539,,St. Dev,0.442474094,St. Dev,115929366,St. Dev," $18,617,073.62 "
1,2012,273192400,74035140,1.451,,Variance,0.195783324,Variance,1.34396E+16,Variance," $346,595,430,229,759.00 "
1,2013,351271870,61823849,0.618,,,,,,,
1,2014,361091140,52719306,0.504,,,,,,,
1,2015,345486340,49059060,1.534,,,,,,,
1,2016,412262180,54418608,2.229,,,,,,,
1,2017,371096030,48984676,1.437,,,,,,,
1,2018,364262150,51725225,1.278,,,,,,,
1,2019,345962110,52404183,1.04,,,,,,,
2,1999,72223460,12277988,0.755,,,,,,,
2,2000,75055290,12534233,1,,,,,,,
2,2001,78671470,12666107,0.784,,,,,,,
2,2002,75010030,15227036,0.953,,,,,,,
2,2003,66782720,18031334,0.992,,,,,,,
2,2004,85015630,17938298,0.866,,,,,,,
2,2005,83506580,17369369,1.157,,,,,,,
2,2006,87000620,20532146,1.028,,,,,,,
2,2007,72859180,27030756,1.147,,,,,,,
2,2008,80748700,29554024,0.215,,,,,,,
2,2009,91469550,32197282,0.399,,,,,,,
2,2010,90663290,37625265,0.694,,,,,,,
2,2011,84291400,38689753,0.539,,,,,,,
2,2012,82790870,43796370,1.451,,,,,,,
2,2013,91389350,43684109,0.618,,,,,,,
2,2014,106877870,39651690,0.504,,,,,,,
2,2015,106953940,35187846,1.534,,,,,,,
2,2016,116931500,40692162,2.229,,,,,,,
2,2017,120064970,41062220,1.437,,,,,,,
2,2018,120514490,37480006,1.278,,,,,,,
2,2019,96667090,31070611,1.04,,,,,,,
3,1999,62567284,5693623,0.755,,,,,,,
3,2000,60639376,5821380,1,,,,,,,
3,2001,52999932,5405993,0.784,,,,,,,
3,2002,43703968,5725220,0.953,,,,,,,
3,2003,63803256,7975407,0.992,,,,,,,
3,2004,58697040,7337130,0.866,,,,,,,
3,2005,57241992,7212491,1.157,,,,,,,
3,2006,49216040,7726918,1.028,,,,,,,
3,2007,55820360,13285246,1.147,,,,,,,
3,2008,68016096,16936008,0.215,,,,,,,
3,2009,60365728,10805465,0.399,,,,,,,
3,2010,60062408,12553043,0.694,,,,,,,
3,2011,54418808,14475403,0.539,,,,,,,
3,2012,61677384,17639732,1.451,,,,,,,
3,2013,58104610,14642362,0.618,,,,,,,
3,2014,55147120,12132366,0.504,,,,,,,
3,2015,55839540,10051117,1.534,,,,,,,
3,2016,62831507,8984906,2.229,,,,,,,
3,2017,47379810,8196707,1.437,,,,,,,
3,2018,51305540,9696747,1.278,,,,,,,
3,2019,52580890,8727023,1.04,,,,,,,
