CropsM,TonnesM,US$1000M,TempChangeM,YearR,CropsRM,CropsSB,TonnesSB,US$1000SB,TempChangeSB,CropsRSB,CropsW,Year,TonnesW,US$1000W,TempChangeW,CropsRW,US$1000MCUBE,US$1000SBCUBE,US$1000WLOG,,,,
Maize,239548580,17247498,0.755,1,1,Soybeans,72223460,12277988,0.755,2,Wheat,1999,62567284,5693623,0.755,3,2.52509E+18,6.21987E+18,15.55485733,,,,
Maize,251853900,18385335,1,2,1,Soybeans,75055290,12534233,1,2,Wheat,2000,60639376,5821380,1,3,-1.93183E+18,-4.58591E+18,15.57704791,,,,
Maize,241376650,18827379,0.784,3,1,Soybeans,78671470,12666107,0.784,2,Wheat,2001,52999932,5405993,0.784,3,-3.97655E+18,2.88507E+18,15.50301871,,,,
Maize,227766880,20726786,0.953,4,1,Soybeans,75010030,15227036,0.953,2,Wheat,2002,43703968,5725220,0.953,3,-5.55721E+18,7.25243E+18,15.56039153,,,,
Maize,256229020,24341757,0.992,5,1,Soybeans,66782720,18031334,0.992,2,Wheat,2003,63803256,7975407,0.992,3,-2.34841E+18,-3.55492E+18,15.89187324,,,,
Maize,299875570,24289921,0.866,6,1,Soybeans,85015630,17938298,0.866,2,Wheat,2004,58697040,7337130,0.866,3,-2.06039E+18,-1.59989E+18,15.80845832,,,,
Maize,282262550,22298741,1.157,7,1,Soybeans,83506580,17369369,1.157,2,Wheat,2005,57241992,7212491,1.157,3,1.19565E+18,1.37611E+18,15.79132494,,,,
Maize,267502850,32100342,1.028,8,1,Soybeans,87000620,20532146,1.028,2,Wheat,2006,49216040,7726918,1.028,3,2.20609E+18,4.19368E+18,15.86022063,,,,
Maize,331177280,54644251,1.147,9,1,Soybeans,72859180,27030756,1.147,2,Wheat,2007,55820360,13285246,1.147,3,5.96343E+18,-6.12288E+18,16.40216465,,,,
Maize,305911450,48945832,0.215,10,1,Soybeans,80748700,29554024,0.215,2,Wheat,2008,68016096,16936008,0.215,3,-6.69302E+18,6.68165E+18,16.64495256,,,,
Maize,331921050,46468947,0.399,11,1,Soybeans,91469550,32197282,0.399,2,Wheat,2009,60365728,10805465,0.399,3,-6.96132E+18,7.63429E+18,16.19556258,,,,
Maize,315617920,64386056,0.694,12,1,Soybeans,90663290,37625265,0.694,2,Wheat,2010,60062408,12553043,0.694,3,-7.85755E+18,8.85382E+18,16.34547366,,,,
Maize,312788890,76633278,0.539,13,1,Soybeans,84291400,38689753,0.539,2,Wheat,2011,54418808,14475403,0.539,3,-4.08266E+18,-8.20169E+18,16.48796142,,,,
Maize,273192400,74035140,1.451,14,1,Soybeans,82790870,43796370,1.451,2,Wheat,2012,61677384,17639732,1.451,3,-8.36878E+18,3.09408E+17,16.68566442,,,,
Maize,351271870,61823849,0.618,15,1,Soybeans,91389350,43684109,0.618,2,Wheat,2013,58104610,14642362,0.618,3,-3.98956E+17,1.60898E+18,16.49942939,,,,
Maize,361091140,52719306,0.504,16,1,Soybeans,106877870,39651690,0.504,2,Wheat,2014,55147120,12132366,0.504,3,1.60884E+18,-7.36684E+18,16.31138732,,,,
Maize,345486340,49059060,1.534,17,1,Soybeans,106953940,35187846,1.534,2,Wheat,2015,55839540,10051117,1.534,3,-2.68668E+18,-2.16378E+18,16.12319433,,,,
Maize,412262180,54418608,2.229,18,1,Soybeans,116931500,40692162,2.229,2,Wheat,2016,62831507,8984906,2.229,3,3.6876E+18,-5.75631E+18,16.01105662,,,,
Maize,371096030,48984676,1.437,19,1,Soybeans,120064970,41062220,1.437,2,Wheat,2017,47379810,8196707,1.437,3,-3.99749E+18,4.62137E+18,15.91924305,,,,
Maize,364262150,51725225,1.278,20,1,Soybeans,120514490,37480006,1.278,2,Wheat,2018,51305540,9696747,1.278,3,3.30862E+18,3.06269E+18,16.08730103,,,,
Maize,345962110,52404183,1.04,21,1,Soybeans,96667090,31070611,1.04,2,Wheat,2019,52580890,8727023,1.04,3,-9.21397E+18,6.29691E+17,15.98193486,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TonnesM,,US$1000M,,TempChangeM,,TonnesSB,,US$1000SB,,TempChangeSB,,TonnesW,,US$1000W,,TempChangeW,,US$1000MCUBE,,US$1000SBCUBE,,US$1000WLOG,
Mean,308974133.8,Mean,43546008.1,Mean,0.981904762,Mean,89785142.86,Mean,28776124.05,Mean,0.981904762,Mean,56781842.33,Mean,10048775.57,Mean,0.981904762,Mean,-2.17331E+18,Mean,7.60802E+17,Mean,16.05916755
Median,312788890,Median,48984676,Median,0.992,Median,85015630,Median,31070611,Median,0.992,Median,57241992,Median,8984906,Median,0.992,Median,-2.34841E+18,Median,1.37611E+18,Median,16.01105662
Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,#N/A,Mode,,Mode,
,,,,,,,,,,,,,,,,,,,,,,,
Minimum,227766880,Minimum,17247498,Minimum,0.215,Minimum,66782720,Minimum,12277988,Minimum,0.215,Minimum,43703968,Minimum,5405993,Minimum,0.215,Minimum,-9.21397E+18,Minimum,-8.20169E+18,Minimum,15.50301871
Maximum,412262180,Maximum,76633278,Maximum,2.229,Maximum,120514490,Maximum,43796370,Maximum,2.229,Maximum,68016096,Maximum,17639732,Maximum,2.229,Maximum,5.96343E+18,Maximum,8.85382E+18,Maximum,16.68566442
Range,184495300,Range,59385780,Range,2.014,Range,53731770,Range,31518382,Range,2.014,Range,24312128,Range,12233739,Range,2.014,Range,1.51774E+19,Range,1.70555E+19,Range,1.182645705
Q1,261865935,Q1,24289921,Q1,0.694,Q1,78671470,Q1,17938298,Q1,0.694,Q1,52999932,Q1,7337130,Q1,0.694,Q1,-5.55721E+18,Q1,-3.55492E+18,Q1,15.80845832
Q3,348616990,Q3,54418608,Q3,1.157,Q3,96667090,Q3,38689753,Q3,1.157,Q3,60639376,Q3,12553043,Q3,1.2175,Q3,1.60884E+18,Q3,4.62137E+18,Q3,16.34547366
QT range,86751055,QT range,30128687,QT range,0.463,QT range,17995620,QT range,20751455,QT range,0.463,QT range,7639444,QT range,5215913,QT range,0.5235,QT range,7.16605E+18,QT range,8.17628E+18,QT range,0.537015348
St. Dev,49619344.61,St. Dev,18438785.8,St. Dev,0.442474094,St. Dev,15663175.71,St. Dev,11091037.85,St. Dev,0.442474094,St. Dev,5783148.331,St. Dev,3625438.026,St. Dev,0.442474094,St. Dev,4.2891E+18,St. Dev,5.14153E+18,St. Dev,0.356900164
Variance,2.46208E+15,Variance,3.39989E+14,Variance,0.195783324,Variance,2.45335E+14,Variance,1.23011E+14,Variance,0.195783324,Variance,3.34448E+13,Variance,1.31438E+13,Variance,0.195783324,Variance,1.83964E+37,Variance,2.64353E+37,Variance,0.127377727
