Crops,Year,Value in Tonnes,Value in US$1000,Temperature Change
Maize,1999,239548580.0,17247498.0,0.755
Soybeans,1999,72223460.0,12277988.0,0.755
Wheat,1999,62567284.0,5693623.0,0.755
Maize,2000,251853900.0,18385335.0,1.0
Soybeans,2000,75055290.0,12534233.0,1.0
Wheat,2000,60639376.0,5821380.0,1.0
Maize,2001,241376650.0,18827379.0,0.784
Soybeans,2001,78671470.0,12666107.0,0.784
Wheat,2001,52999932.0,5405993.0,0.784
Maize,2002,227766880.0,20726786.0,0.953
Soybeans,2002,75010030.0,15227036.0,0.953
Wheat,2002,43703968.0,5725220.0,0.953
Maize,2003,256229020.0,24341757.0,0.992
Soybeans,2003,66782720.0,18031334.0,0.992
Wheat,2003,63803256.0,7975407.0,0.992
Maize,2004,299875570.0,24289921.0,0.866
Soybeans,2004,85015630.0,17938298.0,0.866
Wheat,2004,58697040.0,7337130.0,0.866
Maize,2005,282262550.0,22298741.0,1.157
Soybeans,2005,83506580.0,17369369.0,1.157
Wheat,2005,57241992.0,7212491.0,1.157
Maize,2006,267502850.0,32100342.0,1.028
Soybeans,2006,87000620.0,20532146.0,1.028
Wheat,2006,49216040.0,7726918.0,1.028
Maize,2007,331177280.0,54644251.0,1.147
Soybeans,2007,72859180.0,27030756.0,1.147
Wheat,2007,55820360.0,13285246.0,1.147
Maize,2008,305911450.0,48945832.0,0.215
Soybeans,2008,80748700.0,29554024.0,0.215
Wheat,2008,68016096.0,16936008.0,0.215
Maize,2009,331921050.0,46468947.0,0.399
Soybeans,2009,91469550.0,32197282.0,0.399
Wheat,2009,60365728.0,10805465.0,0.399
Maize,2010,315617920.0,64386056.0,0.694
Soybeans,2010,90663290.0,37625265.0,0.694
Wheat,2010,60062408.0,12553043.0,0.694
Maize,2011,312788890.0,76633278.0,0.539
Soybeans,2011,84291400.0,38689753.0,0.539
Wheat,2011,54418808.0,14475403.0,0.539
Maize,2012,273192400.0,74035140.0,1.451
Soybeans,2012,82790870.0,43796370.0,1.451
Wheat,2012,61677384.0,17639732.0,1.451
Maize,2013,351271870.0,61823849.0,0.618
Soybeans,2013,91389350.0,43684109.0,0.618
Wheat,2013,58104610.0,14642362.0,0.618
Maize,2014,361091140.0,52719306.0,0.504
Soybeans,2014,106877870.0,39651690.0,0.504
Wheat,2014,55147120.0,12132366.0,0.504
Maize,2015,345486340.0,49059060.0,1.534
Soybeans,2015,106953940.0,35187846.0,1.534
Wheat,2015,55839540.0,10051117.0,1.534
Maize,2016,412262180.0,54418608.0,2.229
Soybeans,2016,116931500.0,40692162.0,2.229
Wheat,2016,62831507.0,8984906.0,2.229
Maize,2017,371096030.0,48984676.0,1.437
Soybeans,2017,120064970.0,41062220.0,1.437
Wheat,2017,47379810.0,8196707.0,1.437
Maize,2018,364262150.0,51725225.0,1.278
Soybeans,2018,120514490.0,37480006.0,1.278
Wheat,2018,51305540.0,9696747.0,1.278
Maize,2019,345962110.0,52404183.0,1.04
Soybeans,2019,96667090.0,31070611.0,1.04
Wheat,2019,52580890.0,8727023.0,1.04
