Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,1999,1999,°C,0.755,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2000,2000,°C,1,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2001,2001,°C,0.784,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2002,2002,°C,0.953,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2003,2003,°C,0.992,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2004,2004,°C,0.866,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2005,2005,°C,1.157,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2006,2006,°C,1.028,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2007,2007,°C,1.147,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2008,2008,°C,0.215,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2009,2009,°C,0.399,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2010,2010,°C,0.694,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2011,2011,°C,0.539,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2012,2012,°C,1.451,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2013,2013,°C,0.618,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2014,2014,°C,0.504,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2015,2015,°C,1.534,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2016,2016,°C,2.229,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2017,2017,°C,1.437,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2018,2018,°C,1.278,Fc,Calculated data
ET,Temperature change,231,United States of America,7271,Temperature change,7020,Meteorological year,2019,2019,°C,1.04,Fc,Calculated data
