Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,1999,1999,1000 US$,17247498,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2000,2000,1000 US$,18385335,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2001,2001,1000 US$,18827379,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2002,2002,1000 US$,20726786,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2003,2003,1000 US$,24341757,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2004,2004,1000 US$,24289921,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2005,2005,1000 US$,22298741,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2006,2006,1000 US$,32100342,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2007,2007,1000 US$,54644251,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2008,2008,1000 US$,48945832,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2009,2009,1000 US$,46468947,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2010,2010,1000 US$,64386056,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2011,2011,1000 US$,76633278,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2012,2012,1000 US$,74035140,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2013,2013,1000 US$,61823849,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2014,2014,1000 US$,52719306,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2015,2015,1000 US$,49059060,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2016,2016,1000 US$,54418608,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2017,2017,1000 US$,48984676,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2018,2018,1000 US$,51725225,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),56,Maize,2019,2019,1000 US$,52404183,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,1999,1999,1000 US$,12277988,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2000,2000,1000 US$,12534233,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2001,2001,1000 US$,12666107,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2002,2002,1000 US$,15227036,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2003,2003,1000 US$,18031334,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2004,2004,1000 US$,17938298,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2005,2005,1000 US$,17369369,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2006,2006,1000 US$,20532146,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2007,2007,1000 US$,27030756,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2008,2008,1000 US$,29554024,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2009,2009,1000 US$,32197282,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2010,2010,1000 US$,37625265,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2011,2011,1000 US$,38689753,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2012,2012,1000 US$,43796370,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2013,2013,1000 US$,43684109,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2014,2014,1000 US$,39651690,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2015,2015,1000 US$,35187846,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2016,2016,1000 US$,40692162,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2017,2017,1000 US$,41062220,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2018,2018,1000 US$,37480006,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),236,Soybeans,2019,2019,1000 US$,31070611,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,1999,1999,1000 US$,5693623,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2000,2000,1000 US$,5821380,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2001,2001,1000 US$,5405993,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2002,2002,1000 US$,5725220,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2003,2003,1000 US$,7975407,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2004,2004,1000 US$,7337130,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2005,2005,1000 US$,7212491,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2006,2006,1000 US$,7726918,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2007,2007,1000 US$,13285246,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2008,2008,1000 US$,16936008,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2009,2009,1000 US$,10805465,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2010,2010,1000 US$,12553043,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2011,2011,1000 US$,14475403,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2012,2012,1000 US$,17639732,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2013,2013,1000 US$,14642362,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2014,2014,1000 US$,12132366,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2015,2015,1000 US$,10051117,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2016,2016,1000 US$,8984906,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2017,2017,1000 US$,8196707,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2018,2018,1000 US$,9696747,Fc,Calculated data
QV,Value of Agricultural Production,231,United States of America,57,Gross Production Value (current thousand US$),15,Wheat,2019,2019,1000 US$,8727023,Fc,Calculated data
