,Crops,Year,Tonnes,USD1000,TempChange,YearR,TempChangeR,TempChangeR2
0,1,1999,239548580,17247498,0.755,1,1.0,0
1,1,2000,251853900,18385335,1.0,2,2.0,1
2,1,2001,241376650,18827379,0.784,3,3.0,0
3,1,2002,227766880,20726786,0.953,4,4.0,0
4,1,2003,256229020,24341757,0.992,5,5.0,0
5,1,2004,299875570,24289921,0.866,6,6.0,0
6,1,2005,282262550,22298741,1.157,7,7.0,2
7,1,2006,267502850,32100342,1.028,8,8.0,2
8,1,2007,331177280,54644251,1.147,9,9.0,2
9,1,2008,305911450,48945832,0.215,10,10.0,0
10,1,2009,331921050,46468947,0.399,11,11.0,0
11,1,2010,315617920,64386056,0.694,12,12.0,0
12,1,2011,312788890,76633278,0.539,13,13.0,0
13,1,2012,273192400,74035140,1.451,14,14.0,2
14,1,2013,351271870,61823849,0.618,15,15.0,0
15,1,2014,361091140,52719306,0.504,16,16.0,0
16,1,2015,345486340,49059060,1.534,17,17.0,2
17,1,2016,412262180,54418608,2.229,18,18.0,2
18,1,2017,371096030,48984676,1.437,19,19.0,2
19,1,2018,364262150,51725225,1.278,20,20.0,2
20,1,2019,345962110,52404183,1.04,21,21.0,2
21,2,1999,72223460,12277988,0.755,1,1.0,0
22,2,2000,75055290,12534233,1.0,2,2.0,1
23,2,2001,78671470,12666107,0.784,3,3.0,0
24,2,2002,75010030,15227036,0.953,4,4.0,0
25,2,2003,66782720,18031334,0.992,5,5.0,0
26,2,2004,85015630,17938298,0.866,6,6.0,0
27,2,2005,83506580,17369369,1.157,7,7.0,2
28,2,2006,87000620,20532146,1.028,8,8.0,2
29,2,2007,72859180,27030756,1.147,9,9.0,2
30,2,2008,80748700,29554024,0.215,10,10.0,0
31,2,2009,91469550,32197282,0.399,11,11.0,0
32,2,2010,90663290,37625265,0.694,12,12.0,0
33,2,2011,84291400,38689753,0.539,13,13.0,0
34,2,2012,82790870,43796370,1.451,14,14.0,2
35,2,2013,91389350,43684109,0.618,15,15.0,0
36,2,2014,106877870,39651690,0.504,16,16.0,0
37,2,2015,106953940,35187846,1.534,17,17.0,2
38,2,2016,116931500,40692162,2.229,18,18.0,2
39,2,2017,120064970,41062220,1.437,19,19.0,2
40,2,2018,120514490,37480006,1.278,20,20.0,2
41,2,2019,96667090,31070611,1.04,21,21.0,2
42,3,1999,62567284,5693623,0.755,1,1.0,0
43,3,2000,60639376,5821380,1.0,2,2.0,1
44,3,2001,52999932,5405993,0.784,3,3.0,0
45,3,2002,43703968,5725220,0.953,4,4.0,0
46,3,2003,63803256,7975407,0.992,5,5.0,0
47,3,2004,58697040,7337130,0.866,6,6.0,0
48,3,2005,57241992,7212491,1.157,7,7.0,2
49,3,2006,49216040,7726918,1.028,8,8.0,2
50,3,2007,55820360,13285246,1.147,9,9.0,2
51,3,2008,68016096,16936008,0.215,10,10.0,0
52,3,2009,60365728,10805465,0.399,11,11.0,0
53,3,2010,60062408,12553043,0.694,12,12.0,0
54,3,2011,54418808,14475403,0.539,13,13.0,0
55,3,2012,61677384,17639732,1.451,14,14.0,2
56,3,2013,58104610,14642362,0.618,15,15.0,0
57,3,2014,55147120,12132366,0.504,16,16.0,0
58,3,2015,55839540,10051117,1.534,17,17.0,2
59,3,2016,62831507,8984906,2.229,18,18.0,2
60,3,2017,47379810,8196707,1.437,19,19.0,2
61,3,2018,51305540,9696747,1.278,20,20.0,2
62,3,2019,52580890,8727023,1.04,21,21.0,2
